item_id,name,main_category,subcategory,brand,tags,price,condition,average_rating,num_ratings,stock_level,release_date,description,color,size
1,Sony WH-1000XM5 Headphones,Electronics,Audio,Sony,"[""Headphones"", ""Noise-cancelling"", ""Wireless"", ""Premium""]",349.99,New,4.7,1283,45,2023-08-15,"Industry-leading noise cancellation with exceptional sound quality. Features 30-hour battery life and multipoint connection.",Black,One Size
2,Le Creuset Signature Dutch Oven,Kitchen,Cookware,Le Creuset,"[""Cast Iron"", ""Dutch Oven"", ""Premium"", ""Cooking""]",389.95,New,4.9,3742,12,2022-04-10,"Enameled cast-iron Dutch oven with superior heat retention. Perfect for slow cooking, braising, and baking.",Cerise,5.5-Quart
3,The Midnight Library,Books,Fiction,Penguin,"[""Fiction"", ""Fantasy"", ""Bestseller"", ""Mental Health""]",14.99,New,4.5,22156,87,2021-02-02,"A novel about regret, hope, and transformation by Matt Haig. Between life and death is a library with infinite books representing different lives.",NA,Hardcover
4,Patagonia Down Sweater Jacket,Clothing,Outerwear,Patagonia,"[""Outdoor"", ""Winter"", ""Sustainable"", ""Casual""]",229.00,New,4.8,5267,23,2022-09-12,"Lightweight, windproof jacket with 800-fill-power down insulation. Made with recycled materials.",Navy,Medium
5,LEGO Architecture Skyline Set,Toys,Building Sets,LEGO,"[""Building"", ""Architecture"", ""Collector"", ""Creative""]",59.99,New,4.6,1847,34,2023-05-21,"Detailed skyline collection featuring iconic buildings from world-famous cities. Includes architectural guide booklet.",Multi,744 Pieces
6,Olaplex Hair Perfector No. 3,Beauty,Hair Care,Olaplex,"[""Hair Treatment"", ""Repair"", ""Premium"", ""Salon""]",28.00,New,4.5,18923,56,2020-03-15,"Restorative hair treatment that reduces breakage and strengthens all hair types. Not a conditioner but a bond rebuilder.",NA,3.3 oz
7,Kindle Paperwhite,Electronics,E-Readers,Amazon,"[""E-Reader"", ""Waterproof"", ""Long Battery"", ""Reading""]",139.99,New,4.6,28764,102,2022-11-30,"Waterproof e-reader with a 6.8"" display and adjustable warm light. Holds thousands of books with weeks of battery life.",Black,6.8 inch
8,Nike Air Zoom Pegasus 39,Footwear,Athletic,Nike,"[""Running"", ""Athletic"", ""Comfortable"", ""Training""]",119.95,New,4.4,3876,67,2023-03-05,"Responsive cushioning and breathable mesh design. Versatile running shoe for everyday training.",White/Black,10 US
9,Vitamix 5200 Blender,Kitchen,Appliances,Vitamix,"[""Blender"", ""Professional"", ""High-Performance"", ""Durable""]",499.95,New,4.8,9452,18,2021-07-20,"Professional-grade blender with variable speed control and hardened stainless-steel blades. Perfect for smoothies, hot soups, and more.",Black,Standard
10,iPad Air (5th Generation),Electronics,Tablets,Apple,"[""Tablet"", ""Touchscreen"", ""Portable"", ""Premium""]",599.00,New,4.8,12653,43,2022-08-18,"Powerful tablet with M1 chip, 10.9-inch Liquid Retina display, and all-day battery life. Great for work and entertainment.",Space Gray,64GB
